origin_uuid,origin_name,destination_uuid,destination_name,travel_min,distance_km
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1a9cda06-94c9-4ccd-be5f-69865e7297d5,Higashi-Hannō,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1dd348a8-bfad-4ae7-bdb1-5443e7ec6a9b,Hatanodai,19.6,13.66
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,207e0811-d607-4522-9dac-20672ebef965,Higashi-Ōme,82.7,85.67
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,20be2c3f-d237-4e6d-802f-9b8f3a3e14de,Fujigaoka,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,21e04d57-5e15-42d8-946a-7b438fc616e9,Ekoda,31.4,14.55
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,22ea1232-8c2b-4ad0-99d9-9e73659221e2,Daitabashi,23.2,15.61
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,26816a26-430d-48ea-ba9e-72cc75bcfde6,Aoi,18.6,14.28
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,278b6e7e-d2b6-456c-a382-bcb0afb7c81f,Higashi-Yūki,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,28316d5b-9454-46fe-a834-211feb3d7f37,Aoto,19.8,13.53
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,293af858-aba1-4bde-8c5c-b4f379a1e693,Funabashikeibajō,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2973050a-c3fa-40b5-b291-34ed7abac9ce,Higashi-ginza,5.0,1.84
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2b04a0ab-31aa-414f-a226-42f82ca3c08b,Annaka,126.0,137.08
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2b23a7a8-bc41-44aa-b25f-c12c6c41aa0b,Akasaka,17.2,5.39
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2c7e3ecf-e337-47b6-a286-26e5b19c077d,Arakawaoki,54.6,61.68
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2dfaa1cc-80f4-4ef4-a46d-700654f5bae9,Hatori,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2eba49c7-052c-4f59-8f1e-ea06b8f76060,Hana-Koganei,64.8,32.87
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,2ec5bf53-68c5-411b-85b5-79fd41ce80c0,Higashi-Mukōjima,11.5,7.67
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,300fe2e7-299b-445e-95fc-58f564409aa1,Hakonegasaki,69.1,57.53
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,302a2bde-b976-46b1-aa53-e799ab3ab57c,Edagawa,12.4,4.1
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,32dec5e6-3e7a-4c11-9319-5a1141564f08,Awajichō,12.7,3.08
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,340369f8-120f-474e-8c8a-ebaae26c6765,Bampaku-Kinen-Kōen,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,341c7b7c-60be-4095-b625-4398e3bac385,Higashi-Koganei,51.4,34.1
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,344ff3b5-99f8-477c-81ce-a4e79bf90118,Gyōda,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3506c25e-8b1d-4a59-82af-1d388293d69e,Funabori,17.5,11.5
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,36433650-322f-46cb-bf40-41920df04ad5,Fujimino,57.2,43.31
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,365e1dd0-c0fa-403b-947a-803d73114665,Haijima,60.0,51.54
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3ab2e0ea-0a65-4750-b98c-40eda3ea5b6a,Higashi-Totsuka,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3abc56f3-cc07-483d-92c4-83f846e1c9b1,Higashi-Abiko,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3dc8aa47-37f2-4394-8ae1-fd9c8f7793d4,Akabane,30.4,18.02
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3e056995-7d85-413a-94df-53130878a80f,Higashi-Urawa,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,3fb6e5a6-c966-43b3-8be9-b607ebd7667b,Higashi-Yokota,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,418ae2b4-ca8c-4882-94f0-beafcfa04196,Hasune,24.1,18.67
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,41cea9dc-f13c-4cc3-8f17-85570edc2fd3,Fuchinobe,70.0,47.37
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,42eb7043-1c5e-4257-8469-51eb74fc3a83,Hachiōji-Minamino,59.9,54.39
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,462b331d-04d8-41dc-8d5a-7a05d2d3458b,Chitose-karasuyama,33.6,22.18
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,468de1c1-7da4-4a1d-bc37-5b9b98d69be1,Fujishiro,26.9,18.52
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,481de5ac-8a6c-4a70-bc68-a2218b1051e2,Akebonobashi,53.4,41.63
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4966dd13-9658-446f-89bd-0cedcc9944fe,Chōfu,36.6,28.49
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4aa5553e-03c9-4633-804a-4ef979ba8e3c,Gamō,16.8,9.76
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4b282589-58c6-43dc-9574-d4850a7aeac3,Higashi-Akiru,60.2,53.62
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4c982644-2262-4bd7-a000-7957d12bbaf0,Futako-Tamagawa,31.7,20.93
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4da78ae3-6ec9-4842-bb2a-c2a49e4fc2c1,Anzen,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,4e30d1a3-c02d-4f99-9e74-34878d5c9f23,Ayase,20.6,12.65
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,50a1c25b-d5c6-482e-942a-31083e4bbfc2,Haneda Airport Terminal 1·2,21.1,20.48
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,50ccc5ae-908c-4d1c-8ef0-fa197601578d,Hamacho,4.2,1.29
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5143e790-851b-4972-bdfb-8b8cf0da7d76,Asahi,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,51821b66-92cd-4551-81bf-55be03b1da8e,Gotanda,18.4,11.07
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,52b1ed83-69e1-4230-b563-8dbbbdf08f07,Ajiki,71.9,62.85
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,554ef8bc-16b8-4027-bd8e-2666abf1dd18,Higashi-Funabashi,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,576fef23-b70a-412d-b740-1c14d5b7f363,Higashi-Washinomiya,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,58683f25-0001-46e2-858c-2d0108cf01d0,Fuchūhommachi,42.0,33.12
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,58cc964c-4225-4291-8f0b-c6fe2f0cff8d,Awa-Katsuyama,16.7,9.96
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,58ed9525-ac1c-403e-b1ca-e79c9c7708d9,Asagaya,35.4,20.38
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,59f425f5-f5b3-493f-a9fd-398fa55ffe5d,Asakusabashi,11.2,3.08
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,59fd66ec-2a26-42a3-a4aa-3f1e2693591e,Fubasami,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5a436017-d0c0-47ef-8da9-2b0c7c81abaf,Daikan-yama,20.7,11.15
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5b1d2418-1e28-4aa1-a12f-42f979563240,Atsugi,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5ccbda0a-f800-4a83-850c-c9350c1a0e18,Higashi-Jūjō,23.9,20.52
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5d9bb82c-e809-4d53-8cac-624cebd8fdcd,Akigawa,63.5,55.58
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5d9f7101-b1cf-4bac-b03d-ffd241a70951,Fusa,62.7,54.6
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5fb05e1b-b903-4c9e-b296-ed8d28ac65b3,Goi,22.1,13.95
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,5ffb7e72-a8ec-46a3-8d56-17276ea7f7a7,Bentembashi,22.3,17.63
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,60ccd12b-5080-4875-a39b-fdb511ad81da,Hibiya,10.7,3.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,61181542-a43b-4724-b0d1-bf08329a1468,Hasunuma,29.5,16.66
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,63ddd88e-bfdf-4232-a16f-0b8099f9da61,Higashi-Fushimi,50.2,28.29
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6637a7e6-2932-4bbf-a5ab-e03a3d1c391f,Akihabara,10.3,2.85
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,67986c17-b427-4031-94da-5f3d20879eee,Chūō-Rinkan,7.3,2.34
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,68dfe6d6-4849-46f3-9449-084826ebd050,Etchūjima,7.7,2.47
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6911852a-2092-4623-9359-ee30eb6937f1,Higashi-Matsudo,36.0,23.74
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,69fc5227-443a-4189-8805-508d8128fb2a,Awa-Amatsu,21.4,11.8
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6a47aa7a-d918-4623-8315-28a42dfee4d6,Atami,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6e2318e9-ce71-4fe5-b074-2265023f8063,Higashi-Yamanashi,105.7,118.55
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6eb0a6bb-4979-4e2e-b167-75991f32ab0e,Higashi-Fussa,65.0,54.74
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6ec9d188-eabe-4a54-94c0-15fd6548aa26,Baraki-Nakayama,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6f0f3885-e63b-4457-8bd6-d2ed2d0dcec0,Ebara-nakanobu,20.1,13.21
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,6f135522-5b26-4c63-9915-7ceda36680e7,Aohori,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,70288fd1-f52b-47c4-9be4-03ee1e86c4f1,Hibarigaoka,58.3,40.86
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,72861936-124e-4347-989f-f3bbe66b7b14,Futamata-Shinmachi,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,728d8009-f020-44c9-b1ce-45042a722d80,Emi,88.1,82.67
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,759f9fad-bec1-4c14-9b62-4332a39012f3,Akitsu,16.9,11.51
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,7657cfb6-4357-47c9-8b22-14252f9c5c3a,Azamino,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,76956e69-56dd-4c9c-bf15-6c54cef3d287,Ebaramachi,24.0,14.89
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,776cdfcc-9b2d-428e-91cd-ca00646e62d9,Araki,16.9,5.33
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,79d96228-2b4c-4859-a8b2-ad96edfba72d,Higashi-Kiyokawa,13.3,8.35
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,7b8275b7-1f0d-4e5a-bcc8-4f52a348926f,Fussa,62.7,54.6
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,7ee66891-49a3-4d3a-856f-3666c31fa0db,Daijingushita,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,812bfc6e-1db0-40a6-bf88-fa656958b03b,Higashi-Murayama,75.1,39.13
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,8666076f-d5e0-443f-b56c-e820a5ead0b6,Funabashi,34.8,22.65
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,896c51f2-65e6-4bde-bbbd-e6ad2b3b4a1a,Eifukuchō,24.1,16.16
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,89c6dabb-545c-478d-95e5-730d494b68df,Hayakawa,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,8b61017b-915e-4aa7-8461-5f6f527286f4,Hamamatsuchō,11.8,4.29
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,8c1d9c07-24be-4a9d-8aca-2b77296ad3c4,Hamadayama,29.1,18.09
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,8d89fb16-babd-4017-87e5-c311a961fdda,Chitose,6.2,2.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,8ecd21e7-f5b8-4486-98e0-d6d1b36c3650,Hakusan,20.4,6.44
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,90ddbe18-3b2a-4e2d-982d-08805b4eb6cc,Gunma-Sōja,25.4,16.01
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,92045007-b3eb-42b2-a269-7bc9f84bb8bc,Higashi-Nakagami,58.1,45.06
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,922844e3-1add-4623-a82c-33d3f202ed56,Heiwadai,26.4,20.34
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,937f3d90-ce86-4bbb-b40e-0969f507ab1a,Higashi-hakuraku,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,93cc2e14-09cf-461f-aba7-81204a2db611,Ashikaga,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,95c8c483-ed12-4f9f-8de2-1ee7c784f321,Ebina,57.5,57.13
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,96184f04-bec5-4564-95e9-f32ef19a3eba,Higashi-matsubara,24.9,15.69
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,9690c00b-7835-4b8d-8c2e-470c1862102a,Futako-shinchi,33.4,21.56
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,96ec53a5-b9fc-4356-b7f9-d9ab30090d19,Gakugei-daigaku,26.7,13.12
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,9722492c-4c9f-4303-88e4-d40d89941bcf,Asaka,41.0,33.47
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,9a332899-a21d-41b8-b252-8bb0aee78f27,Hatagaya,20.1,13.96
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,9c680d03-2d2b-4ca0-a7dc-1603298efbff,Fukutawara,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a1d1fc34-33b2-4096-bddf-9dbb65b02d93,Higashi-Nakano,25.6,14.48
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a21dcbb2-d7fb-495f-89a6-25a1551b70b2,Ginza,6.9,2.04
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a40a0a07-8e46-4a1e-bed4-16e88582389b,Higashi-ojima,18.0,6.39
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a64cf041-c163-438c-9cab-743978d218ec,Asakusa,15.0,6.64
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a81014a2-1fd9-418a-a2a0-fbdb885586a6,Haijima,60.0,51.54
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a90727ff-7ac9-4c84-91d3-1f0690d53875,Futomi,98.8,95.77
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,a9b070c8-1a35-42b2-9933-e787b548a7ec,Hamano,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ab7cfef7-f2a8-4eb2-9ad3-231541930d5a,Awa-Kominato,19.0,8.38
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ad141f62-7bc7-4ce1-b4db-f32a5a306143,Higashi-Oizumi,45.4,35.81
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ad200886-9e44-431e-aec7-79919e1b3b6d,Hashimoto,13.8,8.76
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ad8f44e2-e58b-408f-bc84-6a8ba87dc8f7,Fukuhara,7.9,1.94
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,af1a87c0-8f7b-4a10-b0b0-e267495c9103,Chiba,13.6,8.46
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,af81e672-ea41-4a77-a9b9-4633af7e3014,Aikō-Ishida,42.3,38.38
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b08a5db0-09d3-4675-b43c-a3cabf08442c,Ajiro,65.9,66.15
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b22210d9-512e-47fe-a8b6-34d9f9a2e181,Hatchōnawate,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b532ace1-283a-4f46-a736-a1bd2829d1b8,Higashi-Ōmiya,48.5,40.35
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b55fc3a4-e739-456b-9180-58a0998f35e5,Hazama,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b6e3481d-63d3-46d3-97ec-2397d4653e3b,Hachimanyama,29.9,19.82
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b83a3e3d-1764-477f-b5fc-9bc23a833539,Azabu-juban,14.5,6.38
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,b8f0efac-ae92-4dd3-bc36-afb753bc5bc0,Higashi-koenji,27.8,15.63
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ba5c3f1e-e46a-4e66-9a84-84ad610bde7e,Hagiyama,67.0,39.91
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,bb52aef3-20b7-4f77-b685-1df3b23dcbc3,Chiba-Minato,12.9,4.69
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,bc99abf4-1100-44df-8fe1-50ea8c069f61,Daimon,26.0,20.34
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,bd79dae7-3025-42be-b2ca-4cb2b3ae7388,Chitose-Funabashi,31.7,21.66
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,bec2c71b-fcfc-42e9-8ddd-bf4382a052a6,Edogawabashi,13.6,8.37
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,bfabf9c5-67c3-4a1e-901f-e2ad2f14d332,Futamatao,88.2,81.73
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c16408f5-5f4f-4e48-9ad7-bd125d9cd3b6,Gōtokuji,31.9,17.16
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c27ae3a5-19d6-45a5-93a7-69e9e1193efb,Higashi-ikebukuro,16.6,10.95
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c2a7d477-69ea-42ae-9f58-900122fc5007,Hamakanaya,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c347d6b3-b5f5-4f8a-8279-660272143dcc,Chigasaki,45.6,33.08
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c3ba6aeb-de26-4464-b903-42c5578e92b0,Enzan,21.2,13.8
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c4344b82-ef09-4868-b91f-f497064d6561,Higashi-fuchū,38.8,31.04
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c699bed6-2cce-46cd-a9e8-1c777dc1901e,Hamura,73.7,58.59
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c8358052-d738-4144-8544-3b93ed101565,Hatsukari,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,c8b752be-215c-4e97-8d8b-25cf71b573f3,Fuchū,42.6,33.28
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ca43613f-ea7e-452e-b9c8-fa216c2c9173,Awa-Kamogawa,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ccd0735c-7777-478b-a7bc-0214a2a4f743,Ebisu,16.4,9.28
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,cd9b47d6-aa02-4a42-8f6a-40d38052e515,Fudō-mae,21.0,11.62
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,ce7dea21-cdd5-419f-b2b9-e9f00b5ef957,Gokan,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,cec50afb-8bac-407b-aefb-135d4499cf8b,Higashi-Yamatoshi,65.8,45.43
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d05f7b9a-c22d-4831-ad01-b49b6601a1f7,Hanzōmon,12.3,5.73
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d0a4d472-ce4b-4152-9d70-6aa9ae54da21,Chidorichō,29.5,17.71
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d0fc6fe1-98e4-4455-895f-18021a71efc8,Chikura,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d20d08d8-7bd3-4541-a390-35db1753f305,Ageo,56.1,44.59
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d23d5f75-1bd8-4d13-a9c2-8e7acf75acd7,Hikarigaoka,33.5,22.75
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d2db9798-ff42-404b-bee5-a442264d2824,Higashi-Nakayama,19.8,10.88
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d4af2957-2d43-4c65-8945-2e8a23aa4bf0,Hatchobori,3.0,0.81
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,d61b47a0-ef4c-4595-ab68-8cfefdbc96e0,Anegasaki,25.4,16.05
