id,english,japanese,line,source_url
26816a26-430d-48ea-ba9e-72cc75bcfde6,Aoi,青井駅,Tōzai Line,https://en.wikipedia.org/wiki/Tokyo_Metro_T%C5%8Dzai_Line
28316d5b-9454-46fe-a834-211feb3d7f37,Aoto,青砥駅,Keisei Main Line,https://en.wikipedia.org/wiki/Keisei_Main_Line
19a831ea-b718-414a-b455-3fb35da8907a,Aoyama-itchōme,青山一丁目駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line
f0653cbb-3cfc-428a-952d-b95657f506c2,Araiyakushiki-mae,新井薬師前駅,Seibu Shinjuku Line,https://en.wikipedia.org/wiki/Seibu_Shinjuku_Line
2c7e3ecf-e337-47b6-a286-26e5b19c077d,Arakawaoki,荒川沖駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
776cdfcc-9b2d-428e-91cd-ca00646e62d9,Araki,荒木駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
58ed9525-ac1c-403e-b1ca-e79c9c7708d9,Asagaya,阿佐ケ谷駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
5143e790-851b-4972-bdfb-8b8cf0da7d76,Asahi,朝日駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
9722492c-4c9f-4303-88e4-d40d89941bcf,Asaka,朝霞駅,Tōbu Tōjō Line,https://en.wikipedia.org/wiki/T%C5%8Dbu_T%C5%8Dj%C5%8D_Line
f142dda3-0a1c-46cc-95b9-e019f456cf11,Asakadai,朝霞台駅,Tōbu Tōjō Line,https://en.wikipedia.org/wiki/T%C5%8Dbu_T%C5%8Dj%C5%8D_Line
a64cf041-c163-438c-9cab-743978d218ec,Asakusa,浅草駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line
59f425f5-f5b3-493f-a9fd-398fa55ffe5d,Asakusabashi,浅草橋駅,Asakusa Line,https://en.wikipedia.org/wiki/Toei_Asakusa_Line
1198cf19-b283-4efb-acf8-7473a61d44ce,Asano,浅野駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0104cf9f-467b-422e-985e-165779e6da6f,Ashigara,足柄駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
93cc2e14-09cf-461f-aba7-81204a2db611,Ashikaga,足利駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
6a47aa7a-d918-4623-8315-28a42dfee4d6,Atami,熱海駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
5b1d2418-1e28-4aa1-a12f-42f979563240,Atsugi,厚木駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
69fc5227-443a-4189-8805-508d8128fb2a,Awa-Amatsu,安房天津駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ca43613f-ea7e-452e-b9c8-fa216c2c9173,Awa-Kamogawa,安房鴨川駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
58cc964c-4225-4291-8f0b-c6fe2f0cff8d,Awa-Katsuyama,安房勝山駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ab7cfef7-f2a8-4eb2-9ad3-231541930d5a,Awa-Kominato,安房小湊駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
32dec5e6-3e7a-4c11-9319-5a1141564f08,Awajichō,淡路町駅,Marunouchi Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Marunouchi_Line
4e30d1a3-c02d-4f99-9e74-34878d5c9f23,Ayase,綾瀬駅,Chiyoda Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Chiyoda_Line
b83a3e3d-1764-477f-b5fc-9bc23a833539,Azabu-juban,麻布十番駅,Ōedo Line,https://en.wikipedia.org/wiki/Toei_%C5%8Cedo_Line
7657cfb6-4357-47c9-8b22-14252f9c5c3a,Azamino,あざみ野駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
1611ab79-0b5b-4b59-b07d-4069d75b2713,Bakuro-yokoyama,馬喰横山駅,Shinjuku Line,https://en.wikipedia.org/wiki/Toei_Shinjuku_Line
06244887-55d9-49af-9af8-a904530b282b,Bakurochō,馬喰町駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
340369f8-120f-474e-8c8a-ebaae26c6765,Bampaku-Kinen-Kōen,万博記念公園駅,Tsukuba Express,https://en.wikipedia.org/wiki/Tsukuba_Express
12d94613-ba4b-4593-a102-f013e31acc0b,Banda,番田駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
6ec9d188-eabe-4a54-94c0-15fd6548aa26,Baraki-Nakayama,原木中山駅,Tōzai Line,https://en.wikipedia.org/wiki/Tokyo_Metro_T%C5%8Dzai_Line
5ffb7e72-a8ec-46a3-8d56-17276ea7f7a7,Bentembashi,弁天橋駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
e29f7b74-d9c6-4b14-acc3-7911baeb3646,Bubaigawara,分倍河原駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
af1a87c0-8f7b-4a10-b0b0-e267495c9103,Chiba,千葉駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
bb52aef3-20b7-4f77-b685-1df3b23dcbc3,Chiba-Minato,千葉みなと駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
d0a4d472-ce4b-4152-9d70-6aa9ae54da21,Chidorichō,千鳥町駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
c347d6b3-b5f5-4f8a-8279-660272143dcc,Chigasaki,茅ヶ崎駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ff0961c7-bd8b-4dab-9c82-8ca0d7598d38,Chikatetsu-akatsuka,地下鉄赤塚駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
fb5c024d-085d-4a03-8253-0b79fdd1a037,Chikatetsu-narimasu,地下鉄成増駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
d0fc6fe1-98e4-4455-895f-18021a71efc8,Chikura,千倉駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
8d89fb16-babd-4017-87e5-c311a961fdda,Chitose,千歳駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
bd79dae7-3025-42be-b2ca-4cb2b3ae7388,Chitose-Funabashi,千歳船橋駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
462b331d-04d8-41dc-8d5a-7a05d2d3458b,Chitose-karasuyama,千歳烏山駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
4966dd13-9658-446f-89bd-0cedcc9944fe,Chōfu,調布駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
fa3fb17b-d7a9-4b11-addf-8d73499a7d68,Chōjamachi,長者町駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0316b7aa-4298-4857-b832-8926d5c2d34d,Chōshi,銚子駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
67986c17-b427-4031-94da-5f3d20879eee,Chūō-Rinkan,中央林間駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
7ee66891-49a3-4d3a-856f-3666c31fa0db,Daijingushita,大神宮下駅,Keisei Main Line,https://en.wikipedia.org/wiki/Keisei_Main_Line
5a436017-d0c0-47ef-8da9-2b0c7c81abaf,Daikan-yama,代官山駅,Tokyu Toyoko Line,https://en.wikipedia.org/wiki/Tokyu_Toyoko_Line
bc99abf4-1100-44df-8fe1-50ea8c069f61,Daimon,大門駅,Asakusa Line,https://en.wikipedia.org/wiki/Toei_Asakusa_Line
22ea1232-8c2b-4ad0-99d9-9e73659221e2,Daitabashi,代田橋駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
e518363e-69f1-42f1-922a-265e7dae883b,Den-en-chōfu,田園調布駅,Tokyu Meguro Line,https://en.wikipedia.org/wiki/Tokyu_Meguro_Line
168be05f-4a6f-4fc0-9025-64ee38fd6d9b,Dokkyodaigakumae,獨協大学前駅〈草加松原〉,Tobu Skytree Line,https://en.wikipedia.org/wiki/Tobu_Skytree_Line
6f0f3885-e63b-4457-8bd6-d2ed2d0dcec0,Ebara-nakanobu,荏原中延駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
76956e69-56dd-4c9c-bf15-6c54cef3d287,Ebaramachi,荏原町駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
95c8c483-ed12-4f9f-8de2-1ee7c784f321,Ebina,海老名駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
ccd0735c-7777-478b-a7bc-0214a2a4f743,Ebisu,恵比寿駅,Hibiya Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Hibiya_Line
0e43def4-61ce-4602-9407-92a0245e5e11,Eda,江田駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
302a2bde-b976-46b1-aa53-e799ab3ab57c,Edagawa,伊野駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
fbcacba5-3b86-4985-81e1-b707cba33a0f,Edogawa,江戸川駅,Keisei Main Line,https://en.wikipedia.org/wiki/Keisei_Main_Line
bec2c71b-fcfc-42e9-8ddd-bf4382a052a6,Edogawabashi,江戸川橋駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
896c51f2-65e6-4bde-bbbd-e6ad2b3b4a1a,Eifukuchō,永福町駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
21e04d57-5e15-42d8-946a-7b438fc616e9,Ekoda,江古田駅,Seibu Ikebukuro Line,https://en.wikipedia.org/wiki/Seibu_Ikebukuro_Line
728d8009-f020-44c9-b1ce-45042a722d80,Emi,江見駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
77c7ee97-8eb6-4a13-9892-a98e78dce8f7,Enokido,榎戸駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
c3ba6aeb-de26-4464-b903-42c5578e92b0,Enzan,塩山駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
68dfe6d6-4849-46f3-9449-084826ebd050,Etchūjima,越中島駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
59fd66ec-2a26-42a3-a4aa-3f1e2693591e,Fubasami,文挟駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
41cea9dc-f13c-4cc3-8f17-85570edc2fd3,Fuchinobe,淵野辺駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
c8b752be-215c-4e97-8d8b-25cf71b573f3,Fuchū,府中駅,Keio Line,https://en.wikipedia.org
58683f25-0001-46e2-858c-2d0108cf01d0,Fuchūhommachi,府中本町駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ea1e58c1-db7f-4ce3-bc0e-64812aa9f68a,Fuda,布田駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
cd9b47d6-aa02-4a42-8f6a-40d38052e515,Fudō-mae,不動前駅,Tokyu Meguro Line,https://en.wikipedia.org/wiki/Tokyu_Meguro_Line
20be2c3f-d237-4e6d-802f-9b8f3a3e14de,Fujigaoka,藤が丘駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
1857ed4c-75f3-4632-8936-e7f0e1b71a66,Fujimigaoka,富士見ヶ丘駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
36433650-322f-46cb-bf40-41920df04ad5,Fujimino,ふじみ野駅,Tōbu Tōjō Line,https://en.wikipedia.org/wiki/T%C5%8Dbu_T%C5%8Dj%C5%8D_Line
083e2441-1105-4279-8cfb-71c627aac0f7,Fujino,藤野駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0e04f4ac-b2e2-4c49-ac08-3a74eab7ed91,Fujisawa,藤沢駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
468de1c1-7da4-4a1d-bc37-5b9b98d69be1,Fujishiro,藤代駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
de35471d-94a3-46c0-a490-e0b6c8bbe837,Fukaya,深谷駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0e5fba0e-3a9b-4845-a39e-15056ed9c399,Fukiage,吹上駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ad8f44e2-e58b-408f-bc84-6a8ba87dc8f7,Fukuhara,福原駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
9c680d03-2d2b-4ca0-a7dc-1603298efbff,Fukutawara,福俵駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
8666076f-d5e0-443f-b56c-e820a5ead0b6,Funabashi,船橋駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
fba15b8d-50b8-41ae-9467-73f5401c2da2,Funabashi-Hōten,船橋法典駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
293af858-aba1-4bde-8c5c-b4f379a1e693,Funabashikeibajō,船橋競馬場駅,Keisei Main Line,https://en.wikipedia.org/wiki/Keisei_Main_Line
3506c25e-8b1d-4a59-82af-1d388293d69e,Funabori,船堀駅,Shinjuku Line,https://en.wikipedia.org/wiki/Toei_Shinjuku_Line
5d9f7101-b1cf-4bac-b03d-ffd241a70951,Fusa,布佐駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
7b8275b7-1f0d-4e5a-bcc8-4f52a348926f,Fussa,福生駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
9690c00b-7835-4b8d-8c2e-470c1862102a,Futako-shinchi,二子新地駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
4c982644-2262-4bd7-a000-7957d12bbaf0,Futako-Tamagawa,二子玉川駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
72861936-124e-4347-989f-f3bbe66b7b14,Futamata-Shinmachi,二俣新町駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
bfabf9c5-67c3-4a1e-901f-e2ad2f14d332,Futamatao,二俣尾駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
a90727ff-7ac9-4c84-91d3-1f0690d53875,Futomi,太海駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
da1c3e4f-f7a2-46bc-959e-2276a4a78899,Gaiemmae,外苑前駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line
96ec53a5-b9fc-4356-b7f9-d9ab30090d19,Gakugei-daigaku,学芸大学駅,Tokyu Toyoko Line,https://en.wikipedia.org/wiki/Tokyu_Toyoko_Line
4aa5553e-03c9-4633-804a-4ef979ba8e3c,Gamō,蒲生駅,Tobu Skytree Line,https://en.wikipedia.org/wiki/Tobu_Skytree_Line
a21dcbb2-d7fb-495f-89a6-25a1551b70b2,Ginza,銀座駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line
eb6f6fc9-ae60-4ec9-974e-00c211a466e5,Ginza-itchome,銀座一丁目駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
d9093320-f194-480e-b613-42cba1eda462,Gion,祇園駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
5fb05e1b-b903-4c9e-b296-ed8d28ac65b3,Goi,五井駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ce7dea21-cdd5-419f-b2b9-e9f00b5ef957,Gokan,後閑駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
e71a3de4-036c-4bde-980f-09a29f6a3251,Gokokuji,護国寺駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
51821b66-92cd-4551-81bf-55be03b1da8e,Gotanda,五反田駅,Asakusa Line,https://en.wikipedia.org/wiki/Toei_Asakusa_Line
f1953189-958c-481e-8b21-a456b8b98145,Gotanno,五反野駅,Tobu Skytree Line,https://en.wikipedia.org/wiki/Tobu_Skytree_Line
fc351b58-99db-430a-ac29-af26e7a7c457,Gumyō,求名駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
e711fd6b-845e-4cdf-9d29-a0abcd8fae27,Gunma-Fujioka,群馬藤岡駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
90ddbe18-3b2a-4e2d-982d-08805b4eb6cc,Gunma-Sōja,群馬総社駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0f5bcbdf-688b-4b8f-a25d-877997950e98,Gunma-Yawata,群馬八幡駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
344ff3b5-99f8-477c-81ce-a4e79bf90118,Gyōda,行田駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
dee0a59d-1ca2-4e56-a9cb-45c83ae609e9,Gyōtoku,行徳駅,Tōzai Line,https://en.wikipedia.org/wiki/Tokyo_Metro_T%C5%8Dzai_Line
c16408f5-5f4f-4e48-9ad7-bd125d9cd3b6,Gōtokuji,豪徳寺駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
df85a213-7641-45ec-b382-722a020cba35,Hachigata,鉢形駅,Tōbu Tōjō Line,https://en.wikipedia.org/wiki/T%C5%8Dbu_T%C5%8Dj%C5%8D_Line
da913f78-9dd7-42b3-94b0-3c5a4323ea14,Hachiman-yama,八幡山駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
b6e3481d-63d3-46d3-97ec-2397d4653e3b,Hachimanyama,八幡山駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
dc89d32e-e2ff-44f3-9068-7b933a67aafa,Hachiōji,八王子駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
42eb7043-1c5e-4257-8469-51eb74fc3a83,Hachiōji-Minamino,八王子みなみ野駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
f1326b1b-7559-476c-a00e-ecb94516de9d,Hadano,秦野駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
ba5c3f1e-e46a-4e66-9a84-84ad610bde7e,Hagiyama,萩山駅,Seibu Haijima Line,https://en.wikipedia.org/wiki/Seibu_Haijima_Line
e221e469-497b-40e5-a216-21d5bdc2eff9,Haguro,羽黒駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
365e1dd0-c0fa-403b-947a-803d73114665,Haijima,拝島駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
a81014a2-1fd9-418a-a2a0-fbdb885586a6,Haijima,拝島駅,Seibu Haijima Line,https://en.wikipedia.org/wiki/Seibu_Haijima_Line
300fe2e7-299b-445e-95fc-58f564409aa1,Hakonegasaki,箱根ヶ崎駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
f2caa7e1-1f14-406d-a0e8-3ee09b2c40c8,Hakuraku,白楽駅,Tokyu Toyoko Line,https://en.wikipedia.org/wiki/Tokyu_Toyoko_Line
8ecd21e7-f5b8-4486-98e0-d6d1b36c3650,Hakusan,白山駅,Mita Line,https://en.wikipedia.org/wiki/Toei_Mita_Line
f664e7da-4430-4a79-98c9-d0e1301e78e2,Hama-Kawasaki,浜川崎駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
50ccc5ae-908c-4d1c-8ef0-fa197601578d,Hamacho,浜町駅,Shinjuku Line,https://en.wikipedia.org/wiki/Toei_Shinjuku_Line
8c1d9c07-24be-4a9d-8aca-2b77296ad3c4,Hamadayama,浜田山駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
c2a7d477-69ea-42ae-9f58-900122fc5007,Hamakanaya,浜金谷駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
8b61017b-915e-4aa7-8461-5f6f527286f4,Hamamatsuchō,浜松町駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
a9b070c8-1a35-42b2-9933-e787b548a7ec,Hamano,浜野駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
c699bed6-2cce-46cd-a9e8-1c777dc1901e,Hamura,羽村駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
2eba49c7-052c-4f59-8f1e-ea06b8f76060,Hana-Koganei,花小金井駅,Seibu Shinjuku Line,https://en.wikipedia.org/wiki/Seibu_Shinjuku_Line
50a1c25b-d5c6-482e-942a-31083e4bbfc2,Haneda Airport Terminal 1·2,羽田空港第1・第2ターミナル駅,Asakusa Line,https://en.wikipedia.org/wiki/Toei_Asakusa_Line
05215e3e-d319-4045-99b7-e19e516455bc,Hannō,飯能駅,Yūrakuchō Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Y%C5%ABrakuch%C5%8D_Line
d05f7b9a-c22d-4831-ad01-b49b6601a1f7,Hanzōmon,半蔵門駅,Hanzōmon Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Hanz%C5%8Dmon_Line
e67e6c61-2c7d-4ba6-a93f-dd35ea47d56e,Harajuku,原宿駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
10a0316f-985b-4a5d-8622-8f4e47985002,Harataima,原当麻駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0e363b85-3146-4852-99a3-bf850d2086c9,Hashimoto,橋本駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
ad200886-9e44-431e-aec7-79919e1b3b6d,Hashimoto,橋本駅,Keio Line,https://en.wikipedia.org/wiki/Keio_Line
d7082e07-8376-4cce-8a0b-faecb1d765ac,Hasuda,蓮田駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
418ae2b4-ca8c-4882-94f0-beafcfa04196,Hasune,蓮根駅,Mita Line,https://en.wikipedia.org/wiki/Toei_Mita_Line
61181542-a43b-4724-b0d1-bf08329a1468,Hasunuma,蓮沼駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
9a332899-a21d-41b8-b252-8bb0aee78f27,Hatagaya,幡ヶ谷駅,Keio New Line,https://en.wikipedia.org/wiki/Keio_New_Line
1dd348a8-bfad-4ae7-bdb1-5443e7ec6a9b,Hatanodai,旗の台駅,Tokyu Oimachi Line,https://en.wikipedia.org/wiki/Tokyu_Oimachi_Line
d4af2957-2d43-4c65-8945-2e8a23aa4bf0,Hatchobori,八丁堀駅,Hibiya Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Hibiya_Line
f394f0de-4e5d-4cc9-a339-9ad6a2a5216f,Hatchōbori,八丁堀駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
